[2016-11-02][10:03:19] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x6f, reserved=0, license=0x578488, password=
[2016-11-02][10:03:20] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x6f, reserved=0, license=0x578488, password=
[2016-11-02][11:02:01] name=ÊÀ¼ÍÖ¤È¯ product=KCBP licensetype=0x12 expireddate=20161201 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x588488, password=
[2016-11-02][11:02:14] name=ÊÀ¼ÍÖ¤È¯ product=KCBP licensetype=0x12 expireddate=20161201 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x588488, password=
[2016-11-02][11:02:25] name=ÊÀ¼ÍÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20161201 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x588488, password=
[2016-11-02][11:02:35] name=ÊÀ¼ÍÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20161201 netaddress= thread#=0 cpu#=0, client#=0, function=0x2f, reserved=0, license=0x588488, password=
[2016-11-02][13:08:24] name=¸£½¨Ê¡Å©´åĞÅÓÃÉç product=KCBP licensetype=0x12 expireddate=20171130 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x578488, password=
[2016-11-02][13:09:03] name=¸£½¨Ê¡Å©´åĞÅÓÃÉç product=KCBP licensetype=0x12 expireddate=20171130 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x578488, password=
[2016-11-02][13:11:04] name=¾ÅÖİÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20170103 netaddress= thread#=0 cpu#=0, client#=0, function=0x4f, reserved=0, license=0x578488, password=
[2016-11-02][13:11:21] name=¾ÅÖİÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20170103 netaddress= thread#=0 cpu#=0, client#=0, function=0x6f, reserved=0, license=0x578488, password=
[2016-11-02][13:11:22] name=¾ÅÖİÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20170103 netaddress= thread#=0 cpu#=0, client#=0, function=0x6f, reserved=0, license=0x578488, password=
[2016-11-02][13:11:37] name=¾ÅÖİÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20170103 netaddress= thread#=0 cpu#=0, client#=0, function=0x40, reserved=0, license=0x578488, password=
[2016-11-04][09:45:56] name=Ö¤È¯Èí¼şÖĞĞÄ product=KCBP licensetype=0x32 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x4f, reserved=0, license=0x2d8488, password=
[2016-11-04][09:57:38] name=¹úĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x2d8488, password=
[2016-11-04][09:57:48] name=¹úĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x2d8488, password=
[2016-11-04][09:58:00] name=¹úĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x2d8488, password=
[2016-11-04][09:58:01] name=¹úĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x2d8488, password=
[2016-11-07][15:16:34] name=Î÷²ØÍ¬ĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x40, reserved=0, license=0x39aaa0, password=
[2016-11-07][15:16:47] name=Î÷²ØÍ¬ĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x6f, reserved=0, license=0x39aaa0, password=
[2016-11-07][15:16:58] name=Î÷²ØÍ¬ĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x4f, reserved=0, license=0x39aaa0, password=
[2016-11-07][15:17:09] name=Î÷²ØÍ¬ĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x39aaa0, password=
[2016-11-07][15:17:26] name=Î÷²ØÍ¬ĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x2f, reserved=0, license=0x39aaa0, password=
[2016-11-10][17:17:18] name=Î÷²ØÍ¬ĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x40, reserved=0, license=0x798488, password=
[2016-11-10][17:17:37] name=Î÷²ØÍ¬ĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x4f, reserved=0, license=0x798488, password=
[2016-11-10][17:17:48] name=Î÷²ØÍ¬ĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x6f, reserved=0, license=0x798488, password=
[2016-11-10][17:18:18] name=Î÷²ØÍ¬ĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x798488, password=
[2016-11-10][17:18:31] name=Î÷²ØÍ¬ĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x798488, password=
[2016-11-10][17:18:41] name=Î÷²ØÍ¬ĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x2f, reserved=0, license=0x798488, password=
[2016-11-10][17:18:48] name=Î÷²ØÍ¬ĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x6f, reserved=0, license=0x798488, password=
[2016-11-10][17:19:41] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x6f, reserved=0, license=0x798488, password=
[2016-11-10][17:19:49] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x4f, reserved=0, license=0x798488, password=
[2016-11-10][17:20:07] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x2f, reserved=0, license=0x798488, password=
[2016-11-10][17:20:18] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x798488, password=
[2016-11-10][17:20:34] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x798488, password=
[2016-11-10][17:21:06] name=ÊÀ¼ÍÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171107 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x798488, password=
